id_editora (int)	nome (String)	endereco (String)	telefone (String)
1	Editora Rural	ALAMEDA DOUTORA ANA JULIA MATOS	5543-1411
2	Editora da Hora	ALAMEDA PRESIDENTE DANILO DOS SANTOS DE OLIVEIRA	5543-1340
3	Editora das Crianças	RUA MINISTRO RENAN DOS SANTOS	3399-1555
4	Editora Maquiavel	AVENIDA DOUTOR MURILO RODRIGUES	2492-1295
5	Editora Risada	ALAMEDA ENZO MONTORIL REINALDO, 6035,  SAO PAULO	99981-1436
6	Editora Universitária	ESTRADA CALEBE DE LIMA OLIVEIRA, 1836, RIO DE JANEIRO	99623-1499
7	Editora das Aventuras Maravilhosas	RUA MINISTRA MIRELLA DE SOUSA, 8043,  SAO PAULO	2493-1393
8	Editora Imaginativa	RUA DOUTOR ARTHUR AYRES, 8801,  BRASILIA	3993-1302
9	Editora Sem Rumo	RUA CAIO BARBOSA ARAGAO, 4642,  VILA VELHA	3393-1500
10	Editora FPD	ESTRADA PRESIDENTE ANA LIVIA BARBOSA, 6353,  SAO PAULO	2492-1630
11	Editora Saraiva	RUA DOUTOR PIETRO CAVALCANTE, 4306,  CAMPINAS	3393-1649
12	Editora Sextante	RUA ALICE SOARES RODRIGUES, 1010,  NOVA IGUACU	99623-1368
13	Editora Elsevier	ESTRADA ANA BEATRIZ DA SILVEIRA, 6139,  SAO PAULO	5543-1527
14	Editora Bookman	ALAMEDA LUNA ARAGAO, 9828,  RIO DE JANEIRO	3399-1613
15	Editora Wiley	ALAMEDA PRESIDENTE ANA SOPHIA DOS SANTOS DA CUNHA, 1782,  SALVADOR	3393-1596
16	Editora Oryllei	RUA RADIALISTA IAGO ARAUJO, 7363,  CURITIBA	2668-1600
17	Editora Manning	ESTRADA RADIALISTA ALEXANDRE ARAGAO, 3260,  BELEM	2494-1331
18	Editora Altabooks	ALAMEDA HUMORISTA FERNANDA SANTANA ARAGAO, 6448,  RIO DE JANEIRO	5543-1605
19	Editora Google	AVENIDA RADIALISTA VITOR GABRIEL OLIVEIRA, 6252,  RIO DE JANEIRO	2668-1319
20	Editora Kemps	AVENIDA DOUTOR BETINA DE SOUSA, 7489,  SAO PAULO	3399-1500
21	Editora Orleans	ALAMEDA MINISTRO CARLOS EDUARDO TEIXEIRA ALMEIDA, 7219,  CURITIBA	3393-1294
22	Editora Casual	AVENIDA JURISTA KAMILLY DE OLIVEIRA, 7085,  SAO PAULO	2668-1383
23	Editora Permanente	ALAMEDA MINISTRO LUNA CAVALCANTE DO NASCIMENTO, 3743,  SAO PAULO	3393-1310
24	Editora Livros Didáticos	ALAMEDA ANA CAROLINA ARAUJO MOTA, 9694,  SAO PAULO	2492-1504
25	Editora Folha de São Paulo	ALAMEDA BRUNO RIBEIRO PINHEIRO, 8074,  PORTO ALEGRE	2493-1274
26	Editora Visual	ALAMEDA DOUTOR HENRIQUE VELOSO, 8054,  RIO DE JANEIRO	3993-1475
27	Editora Ervilha	ESTRADA DOUTOR THALES LOPES MARCONDES, 671,  SALVADOR	3399-1528
28	Editora Rossio	AVENIDA RADIALISTA LARISSA GOMES BARBOSA, 322,  SAO PAULO	97689-1591
29	Editora Pacheca	AVENIDA MINISTRO MARIA CECILIA CHANELLE, 1995,  SAO PAULO	2494-1462
30	Editora Freijó	RUA JUAN SILVA SANTANA, 3441,  JOAO PESSOA	5543-1256
