id_editora (int)	nome (String)	endereco (String)	telefone (String)
10	Editora FPD	ESTRADA PRESIDENTE ANA LIVIA BARBOSA, 6353,  SAO PAULO	2492-1630
11	Editora Saraiva	RUA DOUTOR PIETRO CAVALCANTE, 4306,  CAMPINAS	3393-1649
12	Editora Sextante	RUA ALICE SOARES RODRIGUES, 1010,  NOVA IGUACU	99623-1368
13	Editora Elsevier	ESTRADA ANA BEATRIZ DA SILVEIRA, 6139,  SAO PAULO	5543-1527
14	Editora Bookman	ALAMEDA LUNA ARAGAO, 9828,  RIO DE JANEIRO	3399-1613
15	Editora Wiley	ALAMEDA PRESIDENTE ANA SOPHIA DOS SANTOS DA CUNHA, 1782,  SALVADOR	3393-1596
16	Editora Oryllei	RUA RADIALISTA IAGO ARAUJO, 7363,  CURITIBA	2668-1600
17	Editora Manning	ESTRADA RADIALISTA ALEXANDRE ARAGAO, 3260,  BELEM	2494-1331
18	Editora Altabooks	ALAMEDA HUMORISTA FERNANDA SANTANA ARAGAO, 6448,  RIO DE JANEIRO	5543-1605
19	Editora Google	AVENIDA RADIALISTA VITOR GABRIEL OLIVEIRA, 6252,  RIO DE JANEIRO	2668-1319
20	Editora Kemps	AVENIDA DOUTOR BETINA DE SOUSA, 7489,  SAO PAULO	3399-1500
21	Editora Orleans	ALAMEDA MINISTRO CARLOS EDUARDO TEIXEIRA ALMEIDA, 7219,  CURITIBA	3393-1294
22	Editora Casual	AVENIDA JURISTA KAMILLY DE OLIVEIRA, 7085,  SAO PAULO	2668-1383
23	Editora Permanente	ALAMEDA MINISTRO LUNA CAVALCANTE DO NASCIMENTO, 3743,  SAO PAULO	3393-1310
24	Editora Livros Didáticos	ALAMEDA ANA CAROLINA ARAUJO MOTA, 9694,  SAO PAULO	2492-1504
25	Editora Folha de São Paulo	ALAMEDA BRUNO RIBEIRO PINHEIRO, 8074,  PORTO ALEGRE	2493-1274
